"title","continent","year_of_publication","pro_endpoint","qol_endpoint","physician_endpoint","physiological_endpoint","holter_endpoint","blinding_binary","decade","log_n","treatment_type","physiological_combined"
"A comparative study of three beta 1-adrenoreceptor blocking drugs with different degree of intrinsic stimulating activity (metoprolol, practolol and H 87/07) in patients with angina pectoris.","Europe",1978,1,0,0,1,0,NA,"1970s",3.40119738166216,"pharmacological",1
"A double-blind, parallel-group study of amlodipine versus long-acting nitrate in the management of elderly patients with stable angina.","Europe",2001,0,0,0,1,0,"blinded","2000s",5.28320372873799,"pharmacological",1
"[Opposing effects of propranolol and diltiazem on the angina threshold during an exercise test in patients with syndrome X].","Europe",1986,0,0,0,1,0,"blinded","1980s",2.63905732961526,"pharmacological",1
"Efficacy of nifedipine and isosorbide mononitrate in combination with atenolol in stable angina.","Europe",1991,1,0,0,1,1,"blinded","1990s",3.13549421592915,"pharmacological",1
"[Comparative study of the effect of drug therapy and its combination with hyperbaric oxygenation and hemosorption on stable angina pectoris].","Europe",1991,0,0,1,1,0,NA,"1990s",4.26267987704132,"other",1
"Efficacy of acebutolol in chronic stable angina using single-blind and randomized double-blind protocol.","North America",1982,1,0,0,1,0,"blinded","1980s",3.25809653802148,"pharmacological",1
"Treatment of hypertension associated with stable angina pectoris: favourable interaction between new metoprolol formulation (OROS) and nifedipine.","Europe",1996,1,0,0,1,1,"blinded","1990s",3.04452243772342,"pharmacological",1
"Sustained effect of and lack of development of tolerance to controlled-release isosorbide-5-mononitrate in chronic stable angina pectoris.","North America",1989,0,0,0,1,0,"blinded","1980s",2.94443897916644,"pharmacological",1
"Double-blind comparison of once daily betaxolol versus propranolol four times daily in stable angina pectoris. Betaxolol Investigators Group.","North America",1990,1,0,0,1,0,"blinded","1990s",4.72738781871234,"pharmacological",1
"Lack of negative inotropic effects of the new calcium antagonist Ro 40-5967 in patients with stable angina pectoris.","Europe",1991,1,0,0,1,0,"blinded","1990s",4.18965474202643,"pharmacological",1
